Nome_Cidade_API;Data_Ref;year;Tipo_Operacao;Codigo_SH4;Pais_Parceiro;Valor_USD;Peso_KG
Divinópolis - MG;01/10/2022;2022;export;"Produtos de origem animal, não especificados nem compreendidos em outras posições; animais mortos dos Capítulos 1 ou 3, impróprios para alimentação humana";Reino Unido;1099680;4739
Divinópolis - MG;01/06/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;México;1006000;2012000
Divinópolis - MG;01/10/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Bangladesh;898650;1997000
Divinópolis - MG;01/04/2022;2022;export;Produtos semimanufacturados de ferro ou aço não ligado;Bolívia;730894;1273536
Divinópolis - MG;01/06/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Taiwan (Formosa);684300;1080000
Divinópolis - MG;01/05/2022;2022;export;Produtos semimanufacturados de ferro ou aço não ligado;Bolívia;649478;1129392
Divinópolis - MG;01/12/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Vietnã;559360;1026000
Divinópolis - MG;01/10/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Taiwan (Formosa);474110;810000
Divinópolis - MG;01/09/2022;2022;export;Barras de ferro ou aço não ligado, simplesmente forjadas, laminadas, estiradas ou extrudadas, a quente, incluídas as que tenham sido submetidas a torção após laminagem;Bolívia;346351;499220
Divinópolis - MG;01/05/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Taiwan (Formosa);346200;540000
Divinópolis - MG;01/10/2022;2022;export;Barras de ferro ou aço não ligado, simplesmente forjadas, laminadas, estiradas ou extrudadas, a quente, incluídas as que tenham sido submetidas a torção após laminagem;Bolívia;345156;497963
Divinópolis - MG;01/12/2022;2022;export;Barras de ferro ou aço não ligado, simplesmente forjadas, laminadas, estiradas ou extrudadas, a quente, incluídas as que tenham sido submetidas a torção após laminagem;Bolívia;307714;444164
Divinópolis - MG;01/03/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Países Baixos (Holanda);291458;494000
Divinópolis - MG;01/11/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Vietnã;270400;500000
Divinópolis - MG;01/09/2022;2022;export;Barras de ferro ou aço não ligado, simplesmente forjadas, laminadas, estiradas ou extrudadas, a quente, incluídas as que tenham sido submetidas a torção após laminagem;Paraguai;268642;305620
Divinópolis - MG;01/04/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Estados Unidos;264500;529000
Divinópolis - MG;01/01/2022;2022;export;Produtos semimanufacturados de ferro ou aço não ligado;Bolívia;231737;396000
Divinópolis - MG;01/01/2022;2022;export;Barras de ferro ou aço não ligado, simplesmente forjadas, laminadas, estiradas ou extrudadas, a quente, incluídas as que tenham sido submetidas a torção após laminagem;Uruguai;227982;298904
Divinópolis - MG;01/02/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Equador;220000;440000
Divinópolis - MG;01/07/2022;2022;export;Veículos para inspeção e manutenção de vias férreas ou semelhantes, mesmo autopropulsores;Chile;175040;11954
Divinópolis - MG;01/05/2022;2022;export;Veículos para inspeção e manutenção de vias férreas ou semelhantes, mesmo autopropulsores;Chile;172663;11253
Divinópolis - MG;01/03/2022;2022;export;Veículos para inspeção e manutenção de vias férreas ou semelhantes, mesmo autopropulsores;Chile;166655;15543
Divinópolis - MG;01/06/2022;2022;export;Máquinas e aparelhos, mecânicos, com função própria, não especificados nem compreendidos em outras posições deste capítulo;Argentina;153900;19578
Divinópolis - MG;01/04/2022;2022;export;Veículos para inspeção e manutenção de vias férreas ou semelhantes, mesmo autopropulsores;Chile;128574;11371
Divinópolis - MG;01/10/2022;2022;export;Veículos para inspeção e manutenção de vias férreas ou semelhantes, mesmo autopropulsores;Chile;117640;8016
Divinópolis - MG;01/01/2022;2022;export;Produtos semimanufacturados de ferro ou aço não ligado;China;79443;162120
Divinópolis - MG;01/02/2022;2022;export;Veículos para inspeção e manutenção de vias férreas ou semelhantes, mesmo autopropulsores;Chile;72127;7149
