MUNICIPIO;NOME_INSTITUICAO;QTD_AGENCIAS;VALOR_OPERACOES_CREDITO;VALOR_DEPOSITOS_VISTA;VALOR_POUPANCA;VALOR_DEPOSITOS_PRAZO;DATA_REFERENCIA
PARA DE MINAS;BCO DO BRASIL S.A.;1;541079332;26316584;97720556;98795458;2023-12-01
PARA DE MINAS;BCO SANTANDER (BRASIL) S.A.;1;35725279;779867;32011877;104346909;2023-12-01
PARA DE MINAS;CAIXA ECONOMICA FEDERAL;1;614349880;23030242;277153906;20644395;2023-12-01
PARA DE MINAS;ITAÚ UNIBANCO S.A.;1;65707768;5675501;59415024;103935937;2023-12-01
PARA DE MINAS;BCO BRADESCO S.A.;1;2899911;3363073;26875489;52896258;2024-01-01
PARA DE MINAS;BCO DO BRASIL S.A.;1;552355610;23036722;96852178;99227395;2024-01-01
PARA DE MINAS;BCO SANTANDER (BRASIL) S.A.;1;37465471;1284744;31133715;106413349;2024-01-01
PARA DE MINAS;CAIXA ECONOMICA FEDERAL;1;617132172;23722479;270880503;22160281;2024-01-01
PARA DE MINAS;ITAÚ UNIBANCO S.A.;1;64487241;5340134;58754604;96254903;2024-01-01
PARA DE MINAS;BCO BRADESCO S.A.;1;3658958;3568253;27247628;49496183;2024-02-01
PARA DE MINAS;BCO DO BRASIL S.A.;1;549038607;21088242;96290251;92510033;2024-02-01
PARA DE MINAS;BCO SANTANDER (BRASIL) S.A.;1;37533279;1099433;30522456;88660871;2024-02-01
PARA DE MINAS;CAIXA ECONOMICA FEDERAL;1;622982383;26529559;274852244;25199967;2024-02-01
PARA DE MINAS;ITAÚ UNIBANCO S.A.;1;64319787;6279536;57998499;101090698;2024-02-01
PARA DE MINAS;BCO BRADESCO S.A.;1;2751114;3301879;27352444;47955400;2024-03-01
PARA DE MINAS;BCO DO BRASIL S.A.;1;554220298;22526886;94759028;90470519;2024-03-01
PARA DE MINAS;BCO SANTANDER (BRASIL) S.A.;1;37556917;1261732;31147928;109270219;2024-03-01
PARA DE MINAS;CAIXA ECONOMICA FEDERAL;1;627243091;27047589;274247835;24586465;2024-03-01
PARA DE MINAS;ITAÚ UNIBANCO S.A.;1;64594878;5438894;56805079;93266320;2024-03-01
PARA DE MINAS;BCO BRADESCO S.A.;1;2877272;3355766;26783368;42140746;2024-04-01
PARA DE MINAS;BCO DO BRASIL S.A.;1;558563453;24640799;94874577;89789560;2024-04-01
PARA DE MINAS;BCO SANTANDER (BRASIL) S.A.;1;38952575;2136865;31487922;132827214;2024-04-01
PARA DE MINAS;CAIXA ECONOMICA FEDERAL;1;629835839;22611279;274861665;25998485;2024-04-01
PARA DE MINAS;ITAÚ UNIBANCO S.A.;1;63307061;5495833;56521507;94668281;2024-04-01
PARA DE MINAS;BCO BRADESCO S.A.;1;2945073;4464505;27349553;47427376;2024-05-01
PARA DE MINAS;BCO DO BRASIL S.A.;1;566765549;22946744;94141439;87857088;2024-05-01
PARA DE MINAS;BCO SANTANDER (BRASIL) S.A.;1;38773119;2066926;31158390;114313415;2024-05-01
PARA DE MINAS;CAIXA ECONOMICA FEDERAL;1;635812003;27394319;279758928;28120989;2024-05-01
PARA DE MINAS;ITAÚ UNIBANCO S.A.;1;62908384;5940392;56543923;94404969;2024-05-01
PARA DE MINAS;BCO BRADESCO S.A.;1;2457273;4354198;27962490;46253971;2024-06-01
PARA DE MINAS;BCO DO BRASIL S.A.;1;572618690;27875218;95929241;87187078;2024-06-01
PARA DE MINAS;BCO SANTANDER (BRASIL) S.A.;1;37655480;1813648;30939776;101722908;2024-06-01
PARA DE MINAS;CAIXA ECONOMICA FEDERAL;1;647363205;30855810;283975921;31041794;2024-06-01
PARA DE MINAS;ITAÚ UNIBANCO S.A.;1;63024092;6576514;57625306;93621411;2024-06-01
PARA DE MINAS;BCO BRADESCO S.A.;1;2208915;5983110;27584917;48712400;2024-07-01
PARA DE MINAS;BCO DO BRASIL S.A.;1;557197835;27430872;94800015;96327141;2024-07-01
PARA DE MINAS;BCO SANTANDER (BRASIL) S.A.;1;35393426;1133913;30234237;111143188;2024-07-01
PARA DE MINAS;CAIXA ECONOMICA FEDERAL;1;650844697;30343587;284176108;33128176;2024-07-01
PARA DE MINAS;ITAÚ UNIBANCO S.A.;1;64072248;5947238;57083823;109928615;2024-07-01
PARA DE MINAS;BCO BRADESCO S.A.;1;2036306;6911745;27033457;47659975;2024-08-01
PARA DE MINAS;BCO DO BRASIL S.A.;1;527717741;25139162;95586762;99804088;2024-08-01
PARA DE MINAS;BCO SANTANDER (BRASIL) S.A.;1;35074279;1268437;28974091;120263401;2024-08-01
PARA DE MINAS;CAIXA ECONOMICA FEDERAL;1;659259635;34057580;283253732;30042933;2024-08-01
PARA DE MINAS;ITAÚ UNIBANCO S.A.;1;60570523;8874493;57683166;106695842;2024-08-01
PARA DE MINAS;BCO BRADESCO S.A.;1;2473148;9920112;27736757;40243815;2024-09-01
PARA DE MINAS;BCO DO BRASIL S.A.;1;546624595;25424047;96564711;100602981;2024-09-01
PARA DE MINAS;BCO SANTANDER (BRASIL) S.A.;1;34298771;1400396;28400962;125895590;2024-09-01
PARA DE MINAS;CAIXA ECONOMICA FEDERAL;1;677108756;38688132;281239781;33470004;2024-09-01
PARA DE MINAS;ITAÚ UNIBANCO S.A.;1;62836766;5322969;57140531;97464868;2024-09-01
PARA DE MINAS;BCO BRADESCO S.A.;1;2391140;6182205;28643522;43837342;2024-10-01
PARA DE MINAS;BCO DO BRASIL S.A.;1;532057636;24467878;95282429;99329555;2024-10-01
PARA DE MINAS;BCO SANTANDER (BRASIL) S.A.;1;35107813;1067454;28240661;134118427;2024-10-01
PARA DE MINAS;CAIXA ECONOMICA FEDERAL;1;688078809;29852029;284304394;36723501;2024-10-01
PARA DE MINAS;ITAÚ UNIBANCO S.A.;1;70193205;6053868;56417245;100862304;2024-10-01
PARA DE MINAS;BCO BRADESCO S.A.;1;2342659;5340168;28924887;45010342;2024-11-01
PARA DE MINAS;BCO DO BRASIL S.A.;1;542445256;29095819;94419458;102409629;2024-11-01
PARA DE MINAS;BCO SANTANDER (BRASIL) S.A.;1;34558135;1030353;27874848;129695690;2024-11-01
