Ano;Cidade;Codigo_IBGE;Tipo_Dado;PIB_Total;VA_Agropecuaria;VA_Governo;VA_Industria;VA_Servicos
2018;Carmo da Mata;3114402;Real;474341000.0;118391000.0;89017000.0;36564000.0;195396000.0
2019;Carmo da Mata;3114402;Real;510971000.0;108161000.0;92131000.0;56240000.0;212248000.0
2020;Carmo da Mata;3114402;Real;582134000.0;190497000.0;99650000.0;61175000.0;197373000.0
2021;Carmo da Mata;3114402;Real;694497000.0;239318000.0;102747000.0;96410000.0;213445000.0
2022;Carmo da Mata;3114402;Real;919851000.0;;;;
2023;Carmo da Mata;3114402;Real;843687000.0;;;;
2024;Carmo da Mata;3114402;Projetado;928055700.0000001;;;;
2025;Carmo da Mata;3114402;Projetado;932185452.819221;;;;
