Ano;Cidade;Codigo_IBGE;Tipo_Dado;PIB_Total;VA_Agropecuaria;VA_Governo;VA_Industria;VA_Servicos
2018;Itaúna;3133808;Real;3104946000.0;22427000.0;411936000.0;946526000.0;1262714000.0
2019;Itaúna;3133808;Real;3476221000.0;27002000.0;428361000.0;1120031000.0;1388032000.0
2020;Itaúna;3133808;Real;3706566000.0;35011000.0;435171000.0;1270342000.0;1401332000.0
2021;Itaúna;3133808;Real;5082302000.0;43731000.0;461407000.0;2165845000.0;1536308000.0
2022;Itaúna;3133808;Real;5324955000.0;;;;
2023;Itaúna;3133808;Real;4975969000.0;;;;
2024;Itaúna;3133808;Projetado;4923639702.7863655;;;;
2025;Itaúna;3133808;Projetado;4734470627.824086;;;;
