Ano;Cidade;Codigo_IBGE;Tipo_Dado;PIB_Total;VA_Agropecuaria;VA_Governo;VA_Industria;VA_Servicos
2018;São Sebastião do Oeste;3164803;Real;19627000.0;2406000.0;11163000.0;554000.0;5039000.0
2019;São Sebastião do Oeste;3164803;Real;20809000.0;2251000.0;11937000.0;654000.0;5467000.0
2020;São Sebastião do Oeste;3164803;Real;23465000.0;3649000.0;12804000.0;613000.0;5861000.0
2021;São Sebastião do Oeste;3164803;Real;25965000.0;4467000.0;14125000.0;580000.0;6189000.0
2022;São Sebastião do Oeste;3164803;Real;27919000.0;;;;
2023;São Sebastião do Oeste;3164803;Real;31555000.0;;;;
2024;São Sebastião do Oeste;3164803;Projetado;34710500.0;;;;
2025;São Sebastião do Oeste;3164803;Projetado;38181550.0;;;;
