ano;sigla_uf;id_municipio;tipo_vinculo;vinculo_ativo_3112;tipo_admissao;mes_admissao;mes_desligamento;motivo_desligamento;causa_desligamento_1;causa_desligamento_2;causa_desligamento_3;faixa_tempo_emprego;faixa_horas_contratadas;tempo_emprego;quantidade_horas_contratadas;id_municipio_trabalho;quantidade_dias_afastamento;indicador_cei_vinculado;indicador_trabalho_parcial;indicador_trabalho_intermitente;faixa_remuneracao_media_sm;valor_remuneracao_media_sm;valor_remuneracao_media;faixa_remuneracao_dezembro_sm;valor_remuneracao_dezembro_sm;valor_remuneracao_janeiro;valor_remuneracao_fevereiro;valor_remuneracao_marco;valor_remuneracao_abril;valor_remuneracao_maio;valor_remuneracao_junho;valor_remuneracao_julho;valor_remuneracao_agosto;valor_remuneracao_setembro;valor_remuneracao_outubro;valor_remuneracao_novembro;valor_remuneracao_dezembro;tipo_salario;valor_salario_contratual;subatividade_ibge;subsetor_ibge;cbo_1994;cbo_2002;cnae_1;cnae_2;cnae_2_subclasse;faixa_etaria;idade;grau_instrucao_1985_2005;grau_instrucao_apos_2005;nacionalidade;sexo;raca_cor;indicador_portador_deficiencia;tipo_deficiencia;ano_chegada_brasil;tamanho_estabelecimento;tipo_estabelecimento;natureza_juridica;indicador_simples
2024;MG;3164803;25;1;0;0;0;;999;999;999;8;6;178.0;44;;0;0;0;0;3;1.17;1652.68;3;1.17;0.0;0.0;0.0;0.0;0.0;1652.68;1652.68;1652.68;1652.68;1652.68;1652.68;1652.68;;;;25;;621005;9999;161;161099;7;61;;4;10;1;2;0;0;1198;2;5;;0
2023;MG;3164803;31;1;0;;;0;;99;99;8;5;348.6;40;3164803;0;0;0;0;2;1.4;1842.02;3;1.36;1780.56;1780.56;2374.08;1780.56;1798.56;1798.56;1798.56;1798.56;1798.56;1798.56;1798.56;1798.56;;;;24;;514325;75116;84116;8411600;7;55;;4;10;1;2;0;0;1198;7;1;1244;9
2024;MG;3164803;31;1;0;0;0;;999;999;999;8;5;348.3;40;;0;0;0;0;4;1.64;2327.03;4;1.69;2279.72;2279.72;2279.72;2279.72;2279.72;2279.72;2279.72;2393.26;2393.26;2393.26;2393.26;2393.26;;;;24;;715210;7511;8411;8411600;7;61;;4;10;1;2;0;0;1198;7;1;1244;0
2023;MG;3164803;31;1;0;;;0;;99;99;7;5;70.4;40;3164803;0;0;0;0;2;1.33;1746.9;3;1.29;2174.63;1710.01;1693.42;1693.42;1711.42;1711.42;1711.42;1711.42;1711.42;1711.42;1711.42;1711.42;;;;24;;514325;75116;84116;8411600;6;44;;6;10;1;2;0;0;1198;7;1;1244;9
2023;MG;3164803;31;1;0;;;0;;99;99;8;5;372.0;40;3164803;0;0;0;0;3;1.83;2416.62;4;1.85;2130.12;2330.12;2330.12;2330.12;2351.72;2451.72;2451.72;2451.72;2816.96;2451.72;2451.72;2451.72;;;;24;;724110;75116;84116;8411600;7;55;;4;10;1;2;0;0;1198;7;1;1244;9
2023;MG;3164803;31;1;0;;;0;;99;99;8;5;323.3;40;3164803;0;0;0;0;4;2.28;2997.71;5;2.3;2834.61;2834.61;3779.48;2834.61;2834.61;2834.61;2834.61;3037.08;3037.08;3037.08;3037.08;3037.08;;;;24;;411005;75116;84116;8411600;7;51;;6;10;2;2;0;0;1198;7;1;1244;9
2023;MG;3164803;31;1;0;;;0;;99;99;8;5;180.0;40;3164803;0;0;0;0;2;1.47;1938.57;3;1.44;1793.42;1893.42;1893.42;2391.23;1911.42;1911.42;1911.42;1911.42;1911.42;1911.42;1911.42;1911.42;;;;24;;514325;75116;84116;8411600;6;43;;8;10;2;2;0;0;1198;7;1;1244;9
2023;MG;3164803;97;1;0;;;0;;99;99;5;5;33.9;40;3164803;0;0;0;0;2;1.03;1350.17;2;1.0;1721.53;1316.47;1302.0;1302.0;1320.0;1320.0;1320.0;1320.0;1320.0;1320.0;1320.0;1320.0;;;;24;;411005;75116;84116;8411600;5;34;;7;10;2;2;0;0;1198;7;1;1244;9
2023;MG;3164803;97;1;0;;;0;50;50;99;5;5;35.9;40;3164803;148;0;0;0;2;1.06;1386.83;2;1.0;1302.0;1302.0;1736.0;1302.0;1320.0;1628.0;1452.0;1320.0;1320.0;1320.0;1320.0;1320.0;;;;24;;411005;75116;84116;8411600;6;41;;7;10;2;2;0;0;1198;7;1;1244;9
2023;MG;3164803;97;1;0;;;0;;99;99;6;5;46.9;40;3164803;0;0;0;0;4;2.02;2662.27;5;2.0;3050.87;2333.02;2652.33;2652.33;2652.33;2692.33;2652.33;2652.33;2652.33;2652.33;2652.33;2652.33;;;;24;;331205;75116;84116;8411600;6;41;;9;10;2;2;0;0;1198;7;1;1244;9
