Ano;Cidade;Codigo_IBGE;Tipo_Dado;PIB_Total;VA_Agropecuaria;VA_Governo;VA_Industria;VA_Servicos
2018;Divinópolis;3122306;Real;6476611000.0;52882000.0;992742000.0;1230957000.0;3401195000.0
2019;Divinópolis;3122306;Real;6834856000.0;72714000.0;1031970000.0;1353513000.0;3546924000.0
2020;Divinópolis;3122306;Real;7055202000.0;89833000.0;1005236000.0;1453817000.0;3633281000.0
2021;Divinópolis;3122306;Real;8328420000.0;109940000.0;1088600000.0;2214343000.0;3802888000.0
2022;Divinópolis;3122306;Real;8791427000.0;;;;
2023;Divinópolis;3122306;Real;9339332000.0;;;;
2024;Divinópolis;3122306;Projetado;9889911655.17274;;;;
2025;Divinópolis;3122306;Projetado;10489600085.006695;;;;
