Ano;Cidade;Codigo_IBGE;Tipo_Dado;PIB_Total;VA_Agropecuaria;VA_Governo;VA_Industria;VA_Servicos
2018;Oliveira;3145604;Real;859621000.0;44822000.0;171186000.0;116827000.0;444681000.0
2019;Oliveira;3145604;Real;902712000.0;36932000.0;176026000.0;140038000.0;463691000.0
2020;Oliveira;3145604;Real;910179000.0;73500000.0;174421000.0;133010000.0;448531000.0
2021;Oliveira;3145604;Real;1108063000.0;121511000.0;187460000.0;189984000.0;506133000.0
2022;Oliveira;3145604;Real;1296255000.0;;;;
2023;Oliveira;3145604;Real;1463237000.0;;;;
2024;Oliveira;3145604;Projetado;1609560700.0000002;;;;
2025;Oliveira;3145604;Projetado;1770516770.0000005;;;;
