Ano;Cidade;Codigo_IBGE;Tipo_Dado;PIB_Total;VA_Agropecuaria;VA_Governo;VA_Industria;VA_Servicos
2018;Sete Lagoas;3167202;Real;8537314000.0;20321000.0;1079844000.0;2682323000.0;3474565000.0
2019;Sete Lagoas;3167202;Real;9549062000.0;22871000.0;1110833000.0;3158099000.0;3809339000.0
2020;Sete Lagoas;3167202;Real;9248447000.0;30007000.0;1194019000.0;2676000000.0;3810041000.0
2021;Sete Lagoas;3167202;Real;12655800000.0;36541000.0;1241707000.0;4824684000.0;4365733000.0
2022;Sete Lagoas;3167202;Real;14818544000.0;;;;
2023;Sete Lagoas;3167202;Real;14904465000.0;;;;
2024;Sete Lagoas;3167202;Projetado;16174459833.39835;;;;
2025;Sete Lagoas;3167202;Projetado;16898257030.165442;;;;
