Ano;Cidade;Codigo_IBGE;Tipo_Dado;PIB_Total;VA_Agropecuaria;VA_Governo;VA_Industria;VA_Servicos
2018;Carmo do Cajuru;3114303;Real;721619000.0;114093000.0;133596000.0;67961000.0;338403000.0
2019;Carmo do Cajuru;3114303;Real;740056000.0;90366000.0;138602000.0;79687000.0;359114000.0
2020;Carmo do Cajuru;3114303;Real;857459000.0;177590000.0;144760000.0;78251000.0;379467000.0
2021;Carmo do Cajuru;3114303;Real;1060015000.0;268999000.0;160570000.0;115657000.0;412066000.0
2022;Carmo do Cajuru;3114303;Real;1178412000.0;;;;
2023;Carmo do Cajuru;3114303;Real;1195269000.0;;;;
2024;Carmo do Cajuru;3114303;Projetado;1269236282.8472004;;;;
2025;Carmo do Cajuru;3114303;Projetado;1317240695.5470183;;;;
