Nome_Cidade_API;Data_Ref;year;Tipo_Operacao;Codigo_SH4;Pais_Parceiro;Valor_USD;Peso_KG
Pará de Minas - MG;01/08/2022;2022;export;Queijos e requeijão;Taiwan (Formosa);315800;20050
Pará de Minas - MG;01/05/2022;2022;export;Queijos e requeijão;Taiwan (Formosa);313350;20050
Pará de Minas - MG;01/03/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Tailândia;303733;525000
Pará de Minas - MG;01/03/2022;2022;export;Queijos e requeijão;Taiwan (Formosa);284580;20925
Pará de Minas - MG;01/01/2022;2022;export;Queijos e requeijão;Taiwan (Formosa);284208;20925
Pará de Minas - MG;01/01/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Argentina;277330;409000
Pará de Minas - MG;01/11/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Estados Unidos;268514;548000
Pará de Minas - MG;01/02/2022;2022;export;Queijos e requeijão;Taiwan (Formosa);265150;20050
Pará de Minas - MG;01/10/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Tailândia;259200;450000
Pará de Minas - MG;01/08/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Tailândia;203302;275000
Pará de Minas - MG;01/06/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Argentina;197132;234000
Pará de Minas - MG;01/04/2022;2022;export;Máquinas e aparelhos não especificados nem compreendidos em outras posições do presente capítulo, para preparação ou fabricação industrial de alimentos ou de bebidas, exceto as máquinas e aparelhos para extracção ou preparação de óleos ou gorduras vegeta;Paraguai;186542;7031
Pará de Minas - MG;01/11/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Tailândia;174000;300000
Pará de Minas - MG;01/05/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Argentina;170340;230000
Pará de Minas - MG;01/04/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Argentina;163531;231000
Pará de Minas - MG;01/10/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Argentina;150960;204000
Pará de Minas - MG;01/12/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Argentina;144160;204000
Pará de Minas - MG;01/03/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Argentina;118300;182000
Pará de Minas - MG;01/12/2022;2022;export;Queijos e requeijão;Estados Unidos;99798;18865
Pará de Minas - MG;01/02/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Argentina;84760;130000
Pará de Minas - MG;01/03/2022;2022;export;Queijos e requeijão;Estados Unidos;82666;18951
Pará de Minas - MG;01/06/2022;2022;export;Queijos e requeijão;Estados Unidos;72460;15868
Pará de Minas - MG;01/07/2022;2022;export;Borracha regenerada, em formas primárias ou em chapas, folhas ou tiras;Argentina;55892;44010
Pará de Minas - MG;01/11/2022;2022;export;Queijos e requeijão;Estados Unidos;54943;11072
Pará de Minas - MG;01/04/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Taiwan (Formosa);49821;75000
Pará de Minas - MG;01/05/2022;2022;export;Queijos e requeijão;Estados Unidos;44716;11298
Pará de Minas - MG;01/05/2022;2022;export;Matérias minerais não especificadas nem compreendidas em outras posições;Paraguai;43144;282150
Pará de Minas - MG;01/10/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Chile;41880;54000
Pará de Minas - MG;01/10/2022;2022;export;Queijos e requeijão;Estados Unidos;38930;8803
Pará de Minas - MG;01/11/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Argentina;38220;52000
Pará de Minas - MG;01/08/2022;2022;export;Queijos e requeijão;Estados Unidos;37570;7709
Pará de Minas - MG;01/09/2022;2022;export;Leite e nata, não concentrados nem adicionados de açúcar ou de outros edulcorantes;República Dominicana;33858;17820
Pará de Minas - MG;01/03/2022;2022;export;Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias;Malásia;33580;54000
Pará de Minas - MG;01/09/2022;2022;export;Queijos e requeijão;Estados Unidos;33040;6655
Pará de Minas - MG;01/03/2022;2022;export;Matérias minerais não especificadas nem compreendidas em outras posições;Paraguai;32234;255280
Pará de Minas - MG;01/09/2022;2022;export;Matérias minerais não especificadas nem compreendidas em outras posições;Argentina;28728;66000
Pará de Minas - MG;01/08/2022;2022;export;Borracha regenerada, em formas primárias ou em chapas, folhas ou tiras;Argentina;27946;22005
Pará de Minas - MG;01/05/2022;2022;export;Borracha regenerada, em formas primárias ou em chapas, folhas ou tiras;Argentina;27946;22005
Pará de Minas - MG;01/09/2022;2022;export;Borracha regenerada, em formas primárias ou em chapas, folhas ou tiras;Argentina;27946;22005
Pará de Minas - MG;01/03/2022;2022;export;Borracha regenerada, em formas primárias ou em chapas, folhas ou tiras;Argélia;26626;22005
Pará de Minas - MG;01/09/2022;2022;export;Matérias minerais não especificadas nem compreendidas em outras posições;Bolívia;25616;124300
Pará de Minas - MG;01/07/2022;2022;export;Matérias minerais não especificadas nem compreendidas em outras posições;Argentina;25594;120950
Pará de Minas - MG;01/07/2022;2022;export;Queijos e requeijão;Estados Unidos;25311;5836
Pará de Minas - MG;01/09/2022;2022;export;Queijos e requeijão;Tailândia;22444;2723
Pará de Minas - MG;01/08/2022;2022;export;Matérias minerais não especificadas nem compreendidas em outras posições;Paraguai;21944;204800
Pará de Minas - MG;01/06/2022;2022;export;Partes e acessórios dos veículos automóveis das posições 8701 a 8705;Paraguai;21878;7956
Pará de Minas - MG;01/06/2022;2022;export;Matérias minerais não especificadas nem compreendidas em outras posições;Bolívia;21753;80400
Pará de Minas - MG;01/04/2022;2022;export;Queijos e requeijão;Estados Unidos;21712;5732
Pará de Minas - MG;01/12/2022;2022;export;"Manteiga e outras matérias gordas provenientes do leite; pastas de barrar (espalhar) de produtos provenientes do leite";Estados Unidos;21630;2592
Pará de Minas - MG;01/03/2022;2022;export;"Reboques e semi-reboques para quaisquer veículos; outros veículos não autopropulsores; suas partes";Paraguai;21347;12910
Pará de Minas - MG;01/05/2022;2022;export;Matérias minerais não especificadas nem compreendidas em outras posições;Argentina;21226;69650
Pará de Minas - MG;01/09/2022;2022;export;Leite e nata, não concentrados nem adicionados de açúcar ou de outros edulcorantes;Estados Unidos;20755;7943
Pará de Minas - MG;01/01/2022;2022;export;Matérias minerais não especificadas nem compreendidas em outras posições;Paraguai;19609;152750
Pará de Minas - MG;01/03/2022;2022;export;Matérias minerais não especificadas nem compreendidas em outras posições;Argentina;19310;52750
Pará de Minas - MG;01/11/2022;2022;export;Leite e nata, não concentrados nem adicionados de açúcar ou de outros edulcorantes;Estados Unidos;19298;8536
Pará de Minas - MG;01/08/2022;2022;export;Matérias minerais não especificadas nem compreendidas em outras posições;Argentina;19039;44000
Pará de Minas - MG;01/06/2022;2022;export;Matérias minerais não especificadas nem compreendidas em outras posições;Argentina;18620;44000
